momentum_window_days,volatility_window_days,top_quantile,transaction_cost_bps,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,annualized_excess_return_vs_spy
252,21,0.3,0,0.2537165983343841,0.17615834057804255,1.3723459586849838,-0.2540738226166954,0.11531671857075465
252,21,0.3,10,0.24384822226836422,0.17615111426519317,1.3274958484085524,-0.25424319108647275,0.10544834250473478
252,21,0.4,0,0.24472078243073536,0.17752553648426384,1.3225869590077113,-0.2611734141230211,0.10632090266710592
252,21,0.4,10,0.2372860817639617,0.17751301541074152,1.2888915699771843,-0.2612995892526585,0.09888620200033227
252,63,0.3,0,0.23626925341506788,0.17881023361423237,1.276213600896625,-0.28205029522334746,0.09786937365143844
252,63,0.4,0,0.23545712894119752,0.17832896114382685,1.2755238929199821,-0.2633806508736659,0.09705724917756808
252,21,0.3,25,0.22917619963380553,0.17620651542377735,1.259740035683228,-0.25449724379113814,0.09077631987017609
252,63,0.4,10,0.23027811809282928,0.17834337922077548,1.2518625750986239,-0.263632247239162,0.09187823832919984
252,63,0.3,10,0.22945240223534769,0.1788064156794523,1.24528937673634,-0.2823772498509436,0.09105252247171824
252,21,0.4,25,0.22620839955993133,0.17753323906518165,1.238067501051085,-0.26148885194711424,0.08780851979630189
252,126,0.4,0,0.22827087972398408,0.17926189429870865,1.2372401365186405,-0.2547871565084304,0.08987099996035464
252,126,0.3,0,0.2240453460317866,0.17765542123176858,1.2273090342965958,-0.247205314988852,0.08564546626815717
126,126,0.4,0,0.2275009618549504,0.18138760296928036,1.2214597371233697,-0.26851405048322363,0.08910108209132095
126,21,0.4,0,0.22670834910454052,0.18167648209456594,1.2162754068366683,-0.259336649687267,0.08830846934091108
252,63,0.4,25,0.22254553143483258,0.1783860015729278,1.216234608584202,-0.2640096417874064,0.08414565167120314
252,126,0.4,10,0.22340765264800022,0.1792651357186393,1.215073778827399,-0.25504140586390245,0.08500777288437078
252,63,0.3,25,0.21928970273250292,0.17883535606263642,1.1986681570547528,-0.28286768179233834,0.08088982296887348
126,63,0.4,0,0.2200537902347397,0.17952863927756774,1.1983232047358616,-0.2685140504832231,0.08165391047111026
252,126,0.3,10,0.21762531828362497,0.17764806239013253,1.1977289057297964,-0.24754726505523672,0.07922543851999553
126,126,0.4,10,0.2208316224676361,0.18141426627750185,1.1912528304474514,-0.2688918886051568,0.08243174270400666
126,126,0.3,0,0.21398445968788105,0.1763304000710118,1.1884308452973704,-0.27184195962701985,0.0755845799242516
126,21,0.3,0,0.21614684605463608,0.17818199357861855,1.188085209084346,-0.24950075589032594,0.07774696629100664
252,126,0.4,25,0.2161445689731063,0.17928914903682264,1.181699505799619,-0.25542277989711026,0.07774468920947686
