,Multi-Factor Strategy,SPY Benchmark
Annualized Return,0.22945240223534769,0.13839987976362944
Annualized Volatility,0.1788064156794523,0.17626085462247035
Sharpe Ratio,1.24528937673634,0.8239382377734222
Maximum Drawdown,-0.2823772498509436,-0.3371725940589356
Annualized Excess Return,0.09105252247171824,0.09105252247171824
