,coefficient,t_statistic,p_value
const,0.008362063228498296,3.4320045736087326,0.000599137454142207
Mkt-RF,0.7495643952832158,10.774421065369793,4.546331019090682e-27
SMB,-0.1892964808467164,-1.7334941012587701,0.08300788503694509
HML,-0.05162206459185205,-0.672740474872809,0.5011124129880133
RMW,0.24478415450338603,1.6697024909863636,0.09497824066850105
CMA,0.10902445801995007,0.722545667487605,0.4699590588868635
R-squared,0.5692816930881839,,
Observations,137.0,,
